slug,icon,titre,texte
minorque,🏖️,Criques & plages,"Juin ou octobre — Cala Conta, Cala Bassa cristallines et tranquilles."
minorque,🌅,Coucher de soleil,Café del Mar toute la saison — juin offre le meilleur rapport lumière/affluence.
minorque,👨‍👩‍👧,Famille,"Juin — avant la haute saison, plages accessibles, prix raisonnables."
minorque,💰,Budget,"Octobre — fin de saison, prix -40%, criques désertes, météo estivale."
monaco,🏎️,Grand Prix F1,"Mai — expérience unique en sport automobile, réservations 1 an à l'avance."
monaco,🎰,Casino & vie nocturne,"Toute l'année — Monte-Carlo, Casino Café de Paris, hôtels palace."
monaco,🥾,Sentier du Littoral,"Octobre-mai — 22 km de Cap Martin à Menton, panoramas mer."
monaco,🍽️,Gastronomie,"Toute l'année — tables étoilées, marché de la Condamine."
monaco,👨‍👩‍👧,Famille,"Juin-août — Jardin Exotique, Musée océanographique, plages."
monaco,💰,Budget,"Novembre-mars — hors saison, hôtels de la Riviera -30%."
mykonos,🎉,Fête & clubs,"Juillet-août — Paradise Beach, clubs jusqu'à l'aube. Réservez 6 mois à l'avance."
mykonos,🤿,Plongée & excursion Délos,Mai ou octobre — site archéologique de Délos sans foule.
mykonos,🌅,Moulins & coucher de soleil,"Septembre — lumière ambrée, moulins sans foule, ambiance de fin de saison."
mykonos,👨‍👩‍👧,Famille,Juin — avant le Meltemi et les clubs de juillet-août.
mykonos,💰,Budget,Mai ou octobre — île partiellement ouverte mais prix divisés par deux.
new-york,🍂,Automne (foliage),"Octobre — Central Park en couleurs, températures idéales, événements."
new-york,🏛️,Musées & culture,"Toute l'année — MET, MoMA, Brooklyn Museum, concerts Carnegie Hall."
new-york,🌿,Parcs & architecture,"Avril-juin ou septembre — Central Park, High Line, Brooklyn Bridge."
new-york,🎄,Noël à NYC,"Décembre — Rockefeller, skating, marchés de Noël, 5th Avenue illuminée."
new-york,👨‍👩‍👧,Famille,"Juin-août — Coney Island, Bronx Zoo, Natural History Museum."
new-york,💰,Budget,"Janvier-février — hôtels souvent moins chers, soldes post-fêtes."
nice,🏖️,Promenade & plage,"Juin-septembre — Promenade des Anglais, galets, mer 25°C."
nice,🎨,Culture & Riviera,"Toute l'année — MAMAC, Musée Matisse, Chagall, marché du Cours Saleya."
nice,🍽️,Gastronomie niçoise,"Toute l'année — socca, salade niçoise, pissaladière, pan bagnat."
nice,🌺,Carnaval,Février — l'un des carnavals les plus célèbres au monde.
nice,👨‍👩‍👧,Famille,"Juin ou septembre — plage accessible, Promenade du Paillon, musées."
nice,💰,Budget,"Novembre-mars — hôtels souvent moins chers, ville animée toute l'année."
paris,🗼,Monuments & culture,"Avril-juin ou septembre-octobre — Eiffel, Louvre, Versailles sans foule extrême."
paris,🍽️,Gastronomie,"Toute l'année — bistrots, marchés, pâtisseries, vin naturel."
paris,🌸,Printemps parisien,"Avril-mai — cerisiers au Trocadéro, jardins en fleurs, terrasses."
paris,🎄,Noël & marchés,"Décembre — Champs-Élysées illuminés, marchés de Noël, patinoires."
paris,👨‍👩‍👧,Famille,"Juillet-août — Disneyland à 40 min, grande roue des Tuileries, musées."
paris,💰,Budget,"Janvier-mars — hôtels souvent moins chers, musées accessibles, ventes privées."
phuket,🏖️,Plage,"Novembre-avril — Kata, Karon, Patong, eaux calmes et transparentes."
phuket,🤿,Plongée & îles Phi Phi,"Novembre-mars — Similan Islands, visibilité 30m+, requins-baleines."
phuket,🛕,Temples & culture,"Toute l'année — Big Buddha, Wat Chalong, Old Town de Phuket."
phuket,🍜,Street food,"Toute l'année — marchés nocturnes, cours de cuisine thaï."
phuket,👨‍👩‍👧,Famille,"Décembre-mars — mer calme, Fantasea, Splash Jungle waterpark."
phuket,💰,Budget,"Mai-octobre — mousson, hébergements -40%, moins de touristes."
porto,🍷,Porto & caves à vin,"Toute l'année — caves de Vila Nova de Gaia, dégustation, croisières Douro."
porto,🏛️,Librairie Lello & culture,"Octobre-mai — Lello, gare São Bento, Musée Serralves."
porto,🚋,Tramways & azulejos,"Toute l'année — tramway historique, façades d'azulejos, Clerigos."
porto,🥾,Randonnée Douro,"Septembre-octobre — vendanges, train jusqu'à Peso da Régua."
porto,👨‍👩‍👧,Famille,"Juin-août — plages de Matosinhos à 20 min, festivals estivaux."
porto,💰,Budget,"Novembre-mars — vol + hôtel accessibles, moins cher que Lisbonne."
prague,🏰,Château & vieille ville,"Avril-mai ou septembre-octobre — UNESCO vivant, architecture baroque et gothique."
prague,🍺,Bière & gastronomie,"Toute l'année — meilleure bière au monde (Pilsner Urquell), gulaš."
prague,🎄,Marchés de Noël,"Décembre — Place de la Vieille Ville, parmi les plus beaux d'Europe."
prague,🎵,Musique classique,"Toute l'année — Dvořák, Smetana, concerts dans les palais."
prague,👨‍👩‍👧,Famille,"Juin-août — ZOO de Prague, bateaux sur la Vltava, jardins Valdštejn."
prague,💰,Budget,"Novembre-mars — hébergements -35%, vie moins chère que l'Europe Ouest."
provence,💜,Lavande,"Juin-juillet — Plateau de Valensole, Abbaye de Sénanque, pic mi-juillet."
provence,🍷,Vignes & rosé,"Septembre-octobre — vendanges, route des vins, rosé de Provence AOP."
provence,🏛️,Villages perchés & antiques,"Avril-mai ou septembre — Les Baux, Gordes, Pont du Gard."
provence,🥾,Randonnée Luberon,"Avril-juin ou septembre — Gorges du Verdon, Montagne Sainte-Victoire."
provence,👨‍👩‍👧,Famille,"Juillet-août — marchés colorés, lavande, Gorges du Verdon."
provence,🍽️,Gastronomie,"Toute l'année — tapenade, herbes de Provence, truffes (décembre-janvier)."
reunion,🌋,Piton de la Fournaise,"Toute l'année — l'un des volcans les plus actifs du monde, lave accessible."
reunion,🥾,Randonnée Cirques,"Mai-novembre — Cilaos, Mafate, Salazie, Piton des Neiges."
reunion,🏄,Surf & lagon,"Novembre-avril — Saint-Leu, lagon protégé, vagues de compétition."
reunion,🤿,Plongée,"Toute l'année — requins, tortues, poissons tropicaux."
reunion,👨‍👩‍👧,Famille,"Juillet-août — lagon, cascades, sentiers accessibles."
reunion,💰,Budget,"Mai-août — hors saison touristique, hébergements accessibles."
reykjavik,🌌,Aurores boréales,"Septembre-mars — nuits longues, KP index > 2, Þingvellir idéal."
reykjavik,🌋,Geysers & géothermie,"Toute l'année — Golden Circle, Blue Lagoon, geysers de Geysir."
reykjavik,🐳,Observation des baleines,Juin-août — baleines à bosse dans la baie de Faxaflói.
reykjavik,🧖,Sources chaudes,"Toute l'année — Sky Lagoon, Reykjadalur, sources naturelles."
reykjavik,👨‍👩‍👧,Famille,"Juillet-août — soleil de minuit, Perlan, balades en Islande verte."
reykjavik,💰,Budget,"Novembre-mars — vols accessibles, aurores boréales, Blue Lagoon moins cher."
rhodes,🏖️,Plage,"Juin-septembre — Tsambika, Anthony Quinn Bay, Lindos, eau 26°C."
rhodes,🏰,Vieille ville médiévale,"Avril-mai ou octobre — UNESCO, Palais des Grands Maîtres des Chevaliers."
rhodes,🦋,Vallée des papillons,"Juillet-août — Petaloudes, phénomène naturel unique à Rhodes."
rhodes,🤿,Plongée,"Juin-septembre — eaux cristallines, épaves de la Seconde Guerre mondiale."
rhodes,👨‍👩‍👧,Famille,"Juin ou septembre — mer chaude, plages familiales, moins de foule."
rhodes,💰,Budget,"Mai ou octobre — mer agréable, prix hébergements -35%."
rio-de-janeiro,🎉,Carnaval,"Février-mars — Sambódromo, blocos de rua, l'un des plus grands spectacles du monde."
rio-de-janeiro,🏖️,Ipanema & Copacabana,"Décembre-mars — été brésilien, plages animées, volley de plage."
rio-de-janeiro,🏔️,Corcovado & Pain de Sucre,"Toute l'année — Christ Rédempteur, téléphérique, vues panoramiques."
rio-de-janeiro,🥁,Musique & samba,"Toute l'année — Lapa le vendredi soir, Pedra do Sal, clubs de forro."
rio-de-janeiro,👨‍👩‍👧,Famille,"Juillet-août — hiver doux, jardins botaniques, Niterói."
rio-de-janeiro,💰,Budget,"Juillet-septembre — hiver brésilien, moins de touristes, tarifs corrects."
riviera-maya,🌊,Plage & baignade,"Décembre-avril — mer calme, eau turquoise, pas de sargasses."
riviera-maya,🏛️,Sites mayas,Novembre ou mars-avril — Chichen Itza et Tulum moins bondés.
riviera-maya,🤿,Plongée & cénotes,Toute l'année — la pluie ne gêne pas sous l'eau.
riviera-maya,👨‍👩‍👧,Famille,"Décembre-mars — haute saison scolaire, eau calme, activités variées."
riviera-maya,💰,Budget serré,"Mai ou novembre — météo acceptable, -30-40% sur les hébergements."
rome,🏛️,Antiquité & Vatican,"Mars-mai ou septembre-octobre — Colisée, Forum, Vatican sans foule excessive."
rome,🍕,Gastronomie,"Toute l'année — cacio e pepe, carbonara, supplì, gelato artisanal."
rome,🌸,Printemps romain,"Avril-mai — glycines Villa Borghese, azalées Spanish Steps, températures idéales."
rome,🏃,Marathon de Rome,Mars — course dans les rues du centre historique classé UNESCO.
rome,👨‍👩‍👧,Famille,"Juin ou septembre — Villa Borghese, fontaine de Trevi, plage d'Ostie."
rome,💰,Budget,"Novembre-mars — hôtels souvent moins chers, basiliques gratuites, gastronomie abordable."
santorin,🌅,Coucher de soleil Oia,"Mai, juin ou septembre — foule modérée, lumière parfaite, vent acceptable."
santorin,🤿,Plongée & snorkeling,"Juillet-août — eau à 25-26°C, visibilité maximale."
santorin,📸,Photographie,"Septembre — lumière ambrée, terrasses moins bondées, couchers de soleil exceptionnels."
santorin,👨‍👩‍👧,Famille,"Juin — avant le Meltemi, mer déjà chaude (23°C), moins de monde."
santorin,🚢,Croisière Cyclades,"Mai ou octobre — températures agréables, îles encore/encore ouvertes."
sardaigne,🏖️,Plage,"Juin-septembre — Costa Smeralda, Cala Goloritzé, eaux turquoise parmi les plus belles."
sardaigne,🥾,Selvaggio Blu,"Avril-mai ou octobre — trek côtier spectaculaire, réservé aux initiés."
sardaigne,🏛️,Nuraghe & archéo,"Avril-mai ou octobre — Su Nuraxi (UNESCO), civilisation unique."
sardaigne,🤿,Plongée,"Juin-septembre — Maddalena, Asinara, épaves remarquables."
sardaigne,👨‍👩‍👧,Famille,"Juin ou septembre — plages sécurisées, eaux calmes, moins de monde."
sardaigne,💰,Budget,"Mai ou octobre — vols accessibles, hébergements -40%."
seville,🌸,Feria de Abril,"Avril — feria incontournable, flamenco, chevaux, ambiance unique."
seville,🏛️,Alcázar & cathédrale,"Mars-mai ou octobre — visites sans chaleur écrasante, queue plus courte."
seville,🍷,Gastronomie & tapas,"Toute l'année — tapas, manzanilla, jamón ibérico dans le Barrio Santa Cruz."
seville,👨‍👩‍👧,Famille,"Avril ou octobre — températures idéales, Isla Mágica, parcs accessibles."
seville,💰,Budget,"Novembre-mars — hôtels -30%, moins de touristes, temps souvent ensoleillé."
seville,🌙,Séville la nuit,"Toute l'année — tablao de flamenco, promenades en calèche, Giralda illuminée."
seychelles,🤿,Plongée & snorkeling,"Avril-mai ou octobre-novembre — mer calme entre les 2 moussons, visibilité excellente."
seychelles,🏖️,Plage & granit,"Toute l'année — Anse Source d'Argent, Anse Lazio, rochers granitiques uniques."
seychelles,🐢,Tortues géantes,"Toute l'année — Aldabra (UNESCO), Bird Island, île Curieuse."
seychelles,🦜,Randonnée & faune,"Avril-mai ou octobre — Vallée de Mai (cocotier de mer), oiseaux endémiques."
seychelles,👨‍👩‍👧,Famille,"Décembre-avril — mer calme, plages protégées, faune accessible."
seychelles,💰,Budget,"Mai-juin ou octobre — entre-deux saisons, tarifs légèrement inférieurs."
sicile,🏛️,Archéologie,"Avril-mai ou octobre — Agrigente, Sélinonte, Segeste sans 38°C."
sicile,🏖️,Plage,"Juillet-août — Scala dei Turchi, San Vito Lo Capo, eaux cristallines."
sicile,🍋,Gastronomie,"Toute l'année — arancini, cannoli. Octobre : récolte des olives."
sicile,👨‍👩‍👧,Famille,"Juin ou septembre — mer chaude, chaleur supportable."
sicile,💰,Budget,"Novembre ou mars — hors saison, sites sans file."
siem-reap,🏛️,Angkor,"Novembre-mars — saison sèche, lever du soleil sur Angkor Wat, Ta Prohm."
siem-reap,🌊,Tonlé Sap,"Octobre-novembre — lac gonflé, villages flottants impressionnants."
siem-reap,🎨,Culture khmère,"Toute l'année — musée national, spectacles d'Apsara, artisanat local."
siem-reap,🍜,Gastronomie,"Toute l'année — amok, lok lak, marché nocturne de Pub Street."
siem-reap,👨‍👩‍👧,Famille,"Décembre-mars — températures supportables, Angkor en famille."
siem-reap,💰,Budget,"Juin-septembre — mousson, hôtels souvent moins chers, temples quasi vides."
singapour,🌿,Gardens by the Bay,"Toute l'année — Supertrees, Cloud Forest, dômes climatisés spectaculaires."
singapour,🍜,Gastronomie hawker,"Toute l'année — Maxwell Food Centre, Lau Pa Sat, Chilli Crab, laksa."
singapour,🛍️,Shopping,"Toute l'année — Orchard Road, VivoCity, boutiques duty-free."
singapour,🏛️,Quartiers culturels,"Toute l'année — Chinatown, Little India, Kampong Glam, Clarke Quay."
singapour,👨‍👩‍👧,Famille,"Toute l'année — Universal Studios, Zoo de Singapour, S.E.A. Aquarium."
singapour,💰,Budget,Toute l'année — hawker centers parmi les moins chers d'Asie du Sud-Est.
split,🏖️,Plage & îles,"Juin-septembre — Hvar, Brač (Zlatni Rat), Vis en ferry depuis Split."
split,🏛️,Palais de Dioclétien,"Avril-mai ou octobre — UNESCO vivant, appartements dans les murs antiques."
split,🤿,Plongée,"Juin-septembre — eaux cristallines, Parc national des Kornati."
split,🥾,Montagne Mosor,Avril-mai ou octobre — randonnées à 30 min de Split.
split,👨‍👩‍👧,Famille,"Juin ou septembre — mer calme, plages, ferries vers les îles."
split,💰,Budget,"Mai ou octobre — mer encore agréable, prix -40% vs juillet."
tenerife,🌋,Teide & randonnée,"Octobre-mai — Parc national du Teide (3718m), ciel étoilé exceptionnel."
tenerife,🏖️,Plage & surf,"Toute l'année — Las Teresitas (sable du Sahara), El Médano (windsurf)."
tenerife,🐋,Observation cétacés,"Toute l'année — baleines pilotes sédentaires, dauphins communs."
tenerife,🌹,Carnaval,Février — 2e plus grand carnaval du monde après Rio de Janeiro.
tenerife,👨‍👩‍👧,Famille,"Toute l'année — Loro Parque, Siam Park (meilleur parc aquatique d'Europe)."
tenerife,💰,Budget,"Novembre-mars — fuir le froid européen, vols et hôtels accessibles."
tokyo,🌸,Sakura,"Fin mars-début avril — Ueno, Chidorigafuchi, Shinjuku Gyoen, spectacle unique."
tokyo,🍜,Gastronomie,"Toute l'année — plus d'étoiles Michelin que Paris, ramen, sushi, izakaya."
tokyo,🍂,Koyo (feuillage automne),"Novembre — Nikko, Shinjuku Gyoen, Meiji Jingu, couleurs spectaculaires."
tokyo,🏛️,Culture & temples,"Avril-mai ou octobre — Senso-ji, Meiji, Shibuya, sans chaleur ni humidité."
tokyo,👨‍👩‍👧,Famille,"Avril ou octobre — Disneyland Tokyo, teamLab, températures idéales."
tokyo,💰,Budget,"Janvier-mars — hors sakura, hôtels souvent moins chers, yen favorable aux Européens."
toscane,🍷,Oenotourisme,"Septembre-octobre — vendanges, couleurs d'automne, dégustations. Le moment le plus photogénique de l'année dans le Chianti."
toscane,🏛️,Culture & musées,"Octobre-novembre ou mars-avril — Florence moins bondée, températures agréables."
toscane,🥾,Randonnée,"Avril-mai ou septembre-octobre — avant/après la chaleur, sentiers praticables."
toscane,👨‍👩‍👧,Famille,"Juin ou septembre — mer accessible (côte toscane), chaleur supportable."
toscane,📸,Photographie,"Septembre-octobre — lumière ambrée, vignes en couleurs, brumes matinales dans les vallées."
tulum,🏖️,Plage & cenotes,"Décembre-avril — Playa Paraíso, cenotes cristallins, sans sargasses."
tulum,🏛️,Ruines mayas,"Novembre-mars — site archéologique au lever du soleil, moins de chaleur."
tulum,🤿,Plongée & cenotes,"Toute l'année — Sistema Dos Ojos, Gran Cenote, visibilité exceptionnelle."
tulum,👨‍👩‍👧,Famille,"Décembre-mars — mer calme, activités nature, resorts familiaux."
tulum,🌿,Yoga & bien-être,"Toute l'année — Tulum Pueblo, retraites de yoga, cuisine saine."
tulum,💰,Budget,"Mai-juin — début de saison verte, prix -30%, plages moins fréquentées."
valence,🥘,Paella & gastronomie,"Toute l'année — paella authentique (berceau de la paella), marché central."
valence,🎉,Las Fallas,"Mars (15-19) — l'un des festivals les plus spectaculaires du monde, UNESCO."
valence,🏖️,Plage,"Juin-septembre — La Malvarrosa, El Saler, eaux Méditerranée."
valence,🚲,Parc fluvial & vélo,"Toute l'année — Turia riverbed park, réseau vélo de 150 km."
valence,👨‍👩‍👧,Famille,"Juin ou septembre — Cité des Arts et Sciences, plage, L'Oceanogràfic."
valence,💰,Budget,"Novembre-mars — hôtels accessibles, 300 jours de soleil/an."
venise,🏛️,Culture & musées,"Avril ou octobre — Biennale, Gallerie dell'Accademia sans la foule d'été."
venise,🚶,Venise secrète,"Septembre — Dorsoduro, Cannaregio, Castello sans touristes."
venise,🎭,Carnaval,Février — unique mais froid (3-10°C) et acqua alta fréquente.
venise,👨‍👩‍👧,Famille,"Juin ou octobre — lagune en bateau, Murano (verre), Burano (maisons colorées)."
venise,📸,Photographie,"Septembre ou octobre — lumière dorée, brumes matinales, gondoles vides."
vienne,🎵,Musique classique,"Toute l'année — Philharmonique de Vienne, Opéra d'État, concerts."
vienne,🏛️,Palais & musées,"Avril-mai ou septembre-octobre — Schönbrunn, Hofburg, Kunsthistorisches Museum."
vienne,☕,Cafés viennois,"Toute l'année — Café Central, Schwarzenberg, Sacher, UNESCO immatériel."
vienne,❄️,Marchés de Noël,"Décembre — Rathausplatz, Schönbrunn, Belvedere, parmi les plus beaux d'Europe."
vienne,👨‍👩‍👧,Famille,"Juin-août — Prater & grande roue, zoo de Schönbrunn, Danube Island."
vienne,💰,Budget,"Janvier-mars — hôtels souvent moins chers, opéra accessible, Naschmarkt abordable."
zante,🐢,Tortues Caretta,Juin-août — nidification sur les plages de Gerakas et Sekania (accès protégé).
zante,🏖️,Navagio & plages,"Juin-septembre — plage du Naufragé (icône mondiale), Blue Caves en bateau."
zante,🤿,Plongée & grottes,"Juin-septembre — Blue Caves, Keri Caves, eaux cristallines."
zante,🥾,Randonnée,"Avril-mai ou octobre — villages montagnards, Bohali, vues sur l'île."
zante,👨‍👩‍👧,Famille,"Juin ou septembre — mer calme, tortues, plages sécurisées."
zante,💰,Budget,"Mai ou octobre — mer agréable, prix hébergements -40%."
zanzibar,🏖️,Plage & lagon,"Juin-octobre ou décembre-février — Nungwi, Kendwa, Paje, eaux turquoise."
zanzibar,🤿,Plongée & snorkeling,"Juillet-octobre — récif corallien, tortues, dauphins à Kizimkazi."
zanzibar,🏛️,Stone Town,"Toute l'année — UNESCO, culture swahili, spice tours."
zanzibar,🐋,Baleines & dauphins,Juillet-septembre — baleines à bosse migrant depuis l'Antarctique.
zanzibar,👨‍👩‍👧,Famille,"Juillet-août — mer calme, plages de sable blanc, tortues à Nungwi."
zanzibar,💰,Budget,"Avril-mai ou novembre — entre-deux saisons, hébergements -30%."
